DATE,A939RX0Q048SBEA
2006-01-01,54927.0
2006-04-01,54945.0
2006-07-01,54886.0
2006-10-01,55216.0
2007-01-01,55260.0
2007-04-01,55474.0
2007-07-01,55649.0
2007-10-01,55857.0
2008-01-01,55497.0
2008-04-01,55705.0
2008-07-01,55278.0
2008-10-01,53941.0
2009-01-01,53221.0
2009-04-01,53017.0
2009-07-01,53081.0
2009-10-01,53531.0
2010-01-01,53683.0
2010-04-01,54100.0
2010-07-01,54401.0
2010-10-01,54569.0
