Text,Location
La Statue de Jeanne d'Albret,"Paris, France"
Cour de l'Étoile-d'Or,"Paris, France"
Maison d'Ourscamp,"Paris, France"
Statue de Vauban,"Paris, France"
Les Confidents,"Paris, France"
La Sphinge des Tuileries,"Paris, France"
Statue de Chaim Soutine,"Paris, France"
Jardin des Combattants de la Nueve,"Paris, France"
Église de l'Immaculée Conception,"Paris, France"
Jardin de la Folie Titon,"Paris, France"
Fondation Dosne Thiers,"Paris, France"
Fondation Alberto et Annette Giacometti,"Paris, France"
Statue Douleur,"Paris, France"
Statue L'Eté,"Paris, France"
Place de Valois,"Paris, France"
Studio Harmonic,"Paris, France"
Collège Stanislas,"Paris, France"
Statue Le charmeur de serpent,"Paris, France"
La Cite fleurie,"Paris, France"
Fontaine de la Place François-1er,"Paris, France"
Laurence Esnol Gallery,"Paris, France"
Eglise Notre Dame de la Salette,"Paris, France"
Fresque Pierre Brossolette,"Paris, France"
Le Lavomatik Arts Urbains,"Paris, France"
L'Orme de Saint Gervais,"Paris, France"
Memorial en hommage au Marechal Leclerc,"Paris, France"
"Galerie Martinez Fleurot, estampes anciennes et modernes","Paris, France"
Statue de Marseille,"Paris, France"
Aktéon Théâtre,"Paris, France"
Monument à Jules Hardouin Mansart,"Paris, France"
Fontaine du Square Lamartine,"Paris, France"
Ferme de Paris,"Paris, France"
Le Buste de Baudelaire,"Paris, France"
Statue de Gérard de Nerval,"Paris, France"
Gardens of the Champs-Élysées,"Paris, France"
Place de la Reine Astrid,"Paris, France"
Statue Veturie,"Paris, France"
Aux Travailleurs Chinois de Li Xiao Zhao,"Paris, France"
Fontaine Paul Gasq,"Paris, France"
Statue Drame au desert,"Paris, France"
Statue de la Poésie Lyrique,"Paris, France"
Cirque Tzigane Romanes,"Paris, France"
Fresques d'Odile Jacquot et de Liliane Belembert,"Paris, France"
Fontaine Boucherat,"Paris, France"
Statue Pomone,"Paris, France"
Moulin de la Charite,"Paris, France"
Comédie Nation,"Paris, France"
Fontaine de la Place Victor Hugo,"Paris, France"
Fontaine le Canyoneaustrate,"Paris, France"
Ancienne Eglise Saint Honore d'Eylau,"Paris, France"
Statue La Paix,"Paris, France"
Sculpture Le Grand Échiquier,"Paris, France"
Fontaine de la Grille du Coq,"Paris, France"
Monument au Général Koenig,"Paris, France"
Puits Artésien de la Butte-aux-Cailles,"Paris, France"
Statue La Danse,"Paris, France"
Hotel de la Paiva,"Paris, France"
Statue l'Amour Captif,"Paris, France"
Statue l'Effort,"Paris, France"
Institut Balassi - Institut hongrois,"Paris, France"
Jardin Anaïs-Nin,"Paris, France"
Fontaine de la Place Salvador Allende,"Paris, France"
Sotheby's,"Paris, France"
Le Passage de la Boule Blanche,"Paris, France"
Marché Couvert des Ternes,"Paris, France"
Galerie Natsara la maison des Hommes,"Paris, France"
Siège Central du Crédit lyonnais,"Paris, France"
Statue de Marius,"Paris, France"
Philippe Vichot,"Paris, France"
Chapelle Sainte-Therese,"Paris, France"
Les ailes de l'Aurore,"Paris, France"
Office de Tourisme de Montmartre,"Paris, France"
Statue La Force de la Volonte,"Paris, France"
Primeur du Marais,"Paris, France"
Statue Jeannette,"Paris, France"
Piscine Armand Massard,"Paris, France"
Horloge de l'Hôtel Raoul,"Paris, France"
Je Veux Etre Photographe!,"Paris, France"
Fresque Les trois ages,"Paris, France"
Fresque Andre Malraux,"Paris, France"
"Fresque ""Square Karcher-20""","Paris, France"
Square de L'Amerique Latine,"Paris, France"
Les Oiseaux,"Paris, France"
Statue Le Lion au serpent,"Paris, France"
Cariatides de Philippe Rebuffet,"Paris, France"
Synagogue de Nazareth,"Paris, France"
Le Fronton de Louis Merley,"Paris, France"
Monument a Edouard Pailleron,"Paris, France"
Square de l'Abbe Migne,"Paris, France"
Gare Denfert Rochereau,"Paris, France"
Statue de Paul Deroulede,"Paris, France"
Statue de Jean Leclaire,"Paris, France"
Monument a Nicolas Leblanc,"Paris, France"
Jardins Abbé-Pierre - Grands-Moulins,"Paris, France"
Immeuble Art-Nouveau,"Paris, France"
Square du docteur Calmette,"Paris, France"
Jeanne d'Arc Liberatrice de la France,"Paris, France"
Eglise Notre Dame de la Nativite de Bercy,"Paris, France"
Statue Les Naufrages,"Paris, France"
Le Temple de l'Amicale des Teochew,"Paris, France"
Buste d'Henry Murger,"Paris, France"
Colonne de la Victoire,"Paris, France"
Statue de Georges Bernanos,"Paris, France"
Jardin Juan-Miro,"Paris, France"
Fontaine De La Roquette,"Paris, France"
Fresque Berty Albrecht,"Paris, France"
Statue La Reconciliation,"Paris, France"
Fresque Fillettes Triquis,"Paris, France"
Statue la Venus des Arts,"Paris, France"
Jardin du Monument aux Meres Francaises,"Paris, France"
Fontaine du Fellah,"Paris, France"
Statue de Bernardin de Saint Pierre,"Paris, France"
Fontaines de la Place Alphonse Laveran,"Paris, France"
Place du 8 Fevrier 1962,"Paris, France"
Adrien Kavachnina,"Paris, France"
Le Mémorial de la campagne de Tunisie,"Paris, France"
Cour Alsace Lorraine,"Paris, France"
Cariatides de Fonte,"Paris, France"
Fresque La Terre,"Paris, France"
Fresque Un totem dans la ville,"Paris, France"
Hotel de Brienne,"Paris, France"
3 Cerises Sur Une Etagère,"Paris, France"
Fresque Du Côté de Belleville,"Paris, France"
Piscine Château des Rentiers,"Paris, France"
Square du Clos Feuquières,"Paris, France"
French Arts Factory,"Paris, France"
Square Robert Schuman,"Paris, France"
Impasse des Arbalétriers,"Paris, France"
Square Charles Victor Langlois,"Paris, France"
Fcom France,"Paris, France"
Immeuble Art-Deco,"Paris, France"
Chapelle Notre Dame des Anges,"Paris, France"
Square Francis Lemarque,"Paris, France"
Fontaine Pastorale,"Paris, France"
Monument a Raspail,"Paris, France"
Puits Artésien du square de la Madone,"Paris, France"
Statue La Maternité,"Paris, France"
Monument à Ferdinand Fabre,"Paris, France"
Fontaine des Haudriettes,"Paris, France"
L'Art et la Nature,"Paris, France"
Fresque La Danseuse de Faile,"Paris, France"
Le Fronton l'Enlèvement d'Europe,"Paris, France"
Porte chinoise,"Paris, France"
Jardins Rosa-Luxemburg,"Paris, France"
Fresque Femme Lapine,"Paris, France"
Le Medaillon de Stendhal,"Paris, France"
"Fresque ""Tétris""","Paris, France"
Fresque Rene Cassin,"Paris, France"
Fresque murale Jeune graffeuse,"Paris, France"
Theatre Astral,"Paris, France"
La fontaine aux lions du jardin des plantes,"Paris, France"
Square Ernest Gouin,"Paris, France"
Square Bréguet Sabin,"Paris, France"
Sculpture Alexandre Pouchkine,"Paris, France"
Square du Tchad,"Paris, France"
Le joueur de billes,"Paris, France"
Theatre des Abbesses,"Paris, France"
Fresque Don Quichotte,"Paris, France"
"Fresque ""Le domaine des souris""","Paris, France"
Fresque Liberte Egalite Fraternite,"Paris, France"
Fontaine Maubuée,"Paris, France"
Immeuble Art-Nouveau,"Paris, France"
