Text,Location
Marheineke Markthalle,"Berlin, Germany"
Franzoesischer Dom,"Berlin, Germany"
Anne Frank Zentrum,"Berlin, Germany"
Grosse Orangerie Schloss Charlottenburg,"Berlin, Germany"
Kollwitzplatz,"Berlin, Germany"
Science Center Spectrum,"Berlin, Germany"
Neptunbrunnen,"Berlin, Germany"
Hamburger Museum,"Berlin, Germany"
Karl-Marx-Allee,"Berlin, Germany"
Brücke Museum,"Berlin, Germany"
Grunewald Forest,"Berlin, Germany"
Brohan Museum,"Berlin, Germany"
Kabarett Theater DISTEL,"Berlin, Germany"
Museum of Musical Instruments (Musikinstrumenten Museum),"Berlin, Germany"
Schlachtensee,"Berlin, Germany"
Alte Försterei,"Berlin, Germany"
David Hasselhoff Museum,"Berlin, Germany"
C/O Berlin,"Berlin, Germany"
"Ancient Worlds - Greeks, Etruscans and Romans","Berlin, Germany"
Berlin Icebar,"Berlin, Germany"
Futurium,"Berlin, Germany"
Cathedral of St. Hedwig - Domgemeinde St. Hedwig,"Berlin, Germany"
Museum for Communication,"Berlin, Germany"
Antique Jewellery Berlin,"Berlin, Germany"
Three Girls One Boy Statue,"Berlin, Germany"
Strandbar Mitte,"Berlin, Germany"
Preußenpark,"Berlin, Germany"
HEY ALEX,"Berlin, Germany"
Dorotheenstadt Cemetery,"Berlin, Germany"
Viktoriapark,"Berlin, Germany"
Marx-Engels-Forum,"Berlin, Germany"
Weissensee Jewish Cemetery,"Berlin, Germany"
Schloss Kopenick,"Berlin, Germany"
BeachMitte,"Berlin, Germany"
Ramones Museum Berlin,"Berlin, Germany"
Humboldt Forum,"Berlin, Germany"
Trains To Life Trains To Death,"Berlin, Germany"
Berlin Sculpture (Broken Chain),"Berlin, Germany"
Lustgarten,"Berlin, Germany"
BRLO Brewery Tour & Tasting,"Berlin, Germany"
Weltzeituhr,"Berlin, Germany"
Plötzensee Memorial Center,"Berlin, Germany"
Fichtebunker,"Berlin, Germany"
Stadtschloss Berlin,"Berlin, Germany"
Collection Scharf-Gerstenberg,"Berlin, Germany"
BlackBox Cold War Museum,"Berlin, Germany"
Prinzessinnengarten,"Berlin, Germany"
Kulturforum,"Berlin, Germany"
Molecule Men Sculpture,"Berlin, Germany"
St. George and the Dragon Statue,"Berlin, Germany"
Berliner Funkturm,"Berlin, Germany"
Book Burning Memorial at Bebelplatz,"Berlin, Germany"
Schiller Theatre,"Berlin, Germany"
Deutscher Dom,"Berlin, Germany"
Berliner Mauerweg,"Berlin, Germany"
Bundeskanzleramt der Bundesregierung,"Berlin, Germany"
Insider Tour,"Berlin, Germany"
Forum Willy Brandt Berlin,"Berlin, Germany"
Bellevue Palace,"Berlin, Germany"
Original Berlin Walks,"Berlin, Germany"
Die Mauer | The Wall - Das Museum Am Leipziger Platz,"Berlin, Germany"
Reiterstandbild König Friedrich II von Preußen,"Berlin, Germany"
Theater im Keller - Travestieshow Berlin,"Berlin, Germany"
Anhalter Bahnhof,"Berlin, Germany"
Museum Knoblauchhaus,"Berlin, Germany"
Alter Jüdischer Friedhof (Old Jewish Cemetery),"Berlin, Germany"
Maerkisches Museum,"Berlin, Germany"
Mister Neo,"Berlin, Germany"
KitKatKlub,"Berlin, Germany"
SANDEMANs NEW Europe - Berlin,"Berlin, Germany"
Flugsimulator Berlin,"Berlin, Germany"
